Name,Birthname,Gender,Date of Birth,Place of Birth,Timezone,Data Source,Rodden Rating,Collector,Sun Position,Moon Position,Asc pos,Career 
"Oakley, Tyler",Mathew Tyler Oakley,M,22 March 1989 at 20:00(= 8:00 PM ),"Jackson, Michigan,42n15,  84w24",EST,Rectified from approx. time,C,Scholfield,02°23,09°10,16°29, Entertainment 
"Oană, Ilie",Luis Oană,M,16 August 1918 at 20:00(= 8:00 PM ),"East Chicago, Indiana,41n38,  87w27",CDT,BC/BR in hand,AA,Scholfield,23°19,16°57,29°28, Sports 
"Oates, John",John William Oates,M,7 April 1948 at 01:00(= 01:00 AM ),"New York, New York,40n43,  74w0",EST,Bio/autobiography,B,Craft,17°20,21°06,09°02, Entertain/Music 
"Oates, Joyce Carol",,F,16 June 1938 at 00:27(= 12:27 AM ),"Lockport, New York,43n10,  78w41",EDT,Quoted BC/BR,AA,CAH,24°22,29°10,28°01, Education 
"Oates, Lawrence","Lawrence Edward Grace (""Titus"") Oates",M,17 March 1880 at 06:20(= 06:20 AM ),"Putney, England,51n28,  0w13",GMT,Bio/autobiography,B,Scholfield,27°04,08°00,29°58, Military 
"Oates, Warren",Warren Mercer Oates,M,5 July 1928 at 05:00(= 05:00 AM ),"Depoy, Kentucky,37n13,  87w14",CST,Quoted BC/BR,AA,Steinbrecher,13°09,10°19,17°37,
"Oatis, William N.",William Nathan Oatis,M,7 January 1914 at 16:00(= 4:00 PM ),"Marion (Grant County), Indiana,40n34,  85w40",CST,BC/BR in hand,AA,Scholfield,16°48,24°07,11°15, Writers 
"Obaldia, René de",,M,22 October 1918,"Hong Kong, China,22n17,  114e09",HKT,Date w/o time,X,De Jabrun,,,, Writers 
"Obama, Barack",Barack Hussein Obama II,M,4 August 1961 at 19:24(= 7:24 PM ),"Honolulu, Hawaii,21n18,  157w52",AHST,BC/BR in hand,AA,Taglilatelo,12°33,03°21,18°03, Law 
"Obama, Malia",Malia Ann Obama,F,4 July 1998 at 13:00(= 1:00 PM ),"Chicago, Illinois,41n51,  87w39",CDT,From memory,A,Scholfield,12°33,15°05,11°41, Politics 
"Obama, Michelle",Michelle LaVaughn Robinson,F,17 January 1964,"Chicago, Illinois,41n51,  87w39",CST,Date w/o time,X,Astrodienst,,,, Law 
"Obasi, Prince Emeka Jr.",,M,1 January 2001 at 13:00(= 1:00 PM ),"Lagos, Nigeria,6n27,  3e24",WAT,From memory,A,Scholfield,11°09,24°47,16°39, Politics 
"Obendorf, Ralph L.",Ralph Louis Obendorf,M,11 July 1938 at 07:15(= 07:15 AM ),"Milan, Indiana,39n07,  85w08",CST,BC/BR in hand,AA,Scholfield,18°34,06°51,21°55, Education 
"Oberg, Carl",Carl Albrecht Wilhelm Arnold Oberg,M,27 January 1897 at 23:00(= 11:00 PM ),"Hamburg, Germany,53n33,  9e59",MET,BC/BR in hand,AA,Scholfield,08°18,05°37,11°57, Law 
"Oberlin, J. F.",Johann Friedrich Oberlin,M,31 August 1740 at 06:30(= 06:30 AM ),"Strasbourg, France,48n35,  7e45",LMT,Bio/autobiography,B,Scholfield,08°02,19°30,20°39, Religion 
"Oberling, Charles",Karl Oberling,M,31 July 1895 at 04:00(= 04:00 AM ),"Metz, France,49n08,  6e10",MET,BC/BR in hand,AA,Scholfield,07°38,05°29,24°27, Education 
"Oberndorfer, Siegfried",,M,24 June 1876 at 14:30(= 2:30 PM ),"Munich, Germany,48n08,  11e34",LMT,Quoted BC/BR,AA,Gauquelin,03°18,10°49,29°40, Medical 
"Oberon, Merle",Estelle Merle O'Brien Thompson,F,19 February 1911 at 06:40(= 06:40 AM ),"Bombay, India,18n58,  72e50",IST,Conflicting/unverified,DD,March,29°17,06°19,20°40, Entertainment 
"Obershaw, Brian",,M,5 November 1960 at 19:33(= 7:33 PM ),"Boston, Massachusetts,42n22,  71w04",EST,Quoted BC/BR,AA,McEvoy,13°36,12°50,05°08,
"Obershaw, Mark",,M,14 January 1966 at 12:10(= 12:10 PM ),"Worcester, Massachusetts,42n16,  71w48",EST,Quoted BC/BR,AA,McEvoy,24°06,05°00,18°18,
"Oberst, Maximilian",,M,6 October 1849 at 20:45(= 8:45 PM ),"Regensburg, Germany,49n01,  12e06",LMT,Quoted BC/BR,AA,Gauquelin,13°26,14°15,26°48, Education 
"Oberth, Hermann",Hermann Julius Oberth,M,25 June 1894 at 22:16(= 10:16 PM ),"Hermannstadt, Romania,45n48,  24e09",LST,From memory,A,Taeger,04°12,27°39,16°32, Military 
"Oberti, Daniel",Daniel Eugene Oberti,M,26 February 1945 at 08:10(= 08:10 AM ),"San Francisco, California,37n47,  122w25",PWT,News report,A,Scholfield,07°40,03°31,15°38, Art 
"Obey, André",,M,8 May 1892 at 15:00(= 3:00 PM ),"Douai, France,50n22,  3e04",LST,BC/BR in hand,AA,Geslain,18°26,12°05,01°52, Education 
"Obispo, Pascal",Pascal Michel Obispo,M,8 January 1965 at 23:25(= 11:25 PM ),"Bergerac, France,44n51,  0e29",MET,BC/BR in hand,AA,Geslain,18°27,25°24,26°11, Entertain/Music 
"Oblad, Alex Golden",Alexander Golden Oblad,M,26 November 1909 at 21:10(= 9:10 PM ),"Salt Lake City, Utah,40n46,  111w53",MST,BC/BR in hand,AA,Scholfield,04°17,01°37,01°51, Education 
"Obledo, Mario",Mario Guerra Obledo,M,9 April 1932 at 00:05(= 12:05 AM ),"San Antonio, Texas,29n25,  98w30",CST,BC/BR in hand,AA,Scholfield,19°11,23°51,26°14, Education 
"Oboussier, Robert",Robert Alfred Walter Oboussier,M,9 July 1900 at 16:45(= 4:45 PM ),"Antwerpen, Belgium,51n13,  4e25",WET,BC/BR in hand,AA,Scholfield,16°58,10°37,05°45, Entertain/Music 
"Obradovich, Dennis Lee",,M,1 February 1945 at 11:15(= 11:15 AM ),"Milwaukee, USA,43n02,  87w55",CWT,Quoted BC/BR,AA,Przybylowski,12°28,01°44,00°35, Law 
"Obrecht, André",,M,9 August 1899 at 05:30(= 05:30 AM ),"Paris, France,48n52,  2e20",PMT,BC/BR in hand,AA,Michiels,16°22,16°10,23°45, Medical 
"Obregon, Eugene A.",Eugene Arnold Obregon,M,12 November 1930 at 01:45(= 01:45 AM ),"Los Angeles, California,34n03,  118w15",PST,Quoted BC/BR,AA,Gauquelin,19°17,04°41,20°34, Military 
"Obregon Loria, Rafael",,M,9 July 1911 at 10:00(= 10:00 AM ),"San José, Costa Rica,9n56,  84w05",SJMT,Quoted BC/BR,AA,Castellanos,16°17,25°35,16°17, Humanities+Social Sciences 
"Obregón, David",José David Obregón,M,5 October 1978 at 18:15(= 6:15 PM ),"Juigalpa, Nicaragua,12n05,  85w24",CST,BC/BR in hand,AA,Scholfield,12°24,28°22,26°50, Sports 
"Obrochta, Connor",Connor Jordan Obrochta,M,7 August 1992 at 08:20(= 08:20 AM ),"Seminole (Pinellas County), Florida,27n50,  82w47",EDT,News report,A,Scholfield,15°14,09°40,02°13, Entertainment 
"Obry, Hugues",Hugues Cédric Marcel Obry,M,19 May 1973 at 07:45(= 07:45 AM ),"Enghien, France,48n58,  2e19",MET,BC/BR in hand,AA,Geslain,28°09,20°47,08°59, Sports 
"Obst, Lynda",Linda Rosen,F,14 April 1950 at 18:00(= 6:00 PM ),"New York, New York,40n43,  74w00",EST,Rectified from approx. time,C,Scholfield,24°25,28°14,18°39, Business 
"Ocampo, Ambeth",,M,13 August 1961 at 08:25(= 08:25 AM ),"Manila, Philippines,14n35,  121e0",AWST,Quoted BC/BR,AA,Scholfield,20°01,07°05,28°29, Humanities+Social Sciences 
"Ocampo, Victoria",,F,7 April 1890 at 16:30(= 4:30 PM ),"Buenos Aires, Argentina,34s36,  58w27",LMT,Accuracy in question,C,Castellanos,17°58,18°28,20°00, Writers 
"Ocana, Luis",,M,9 June 1945 at 21:30(= 9:30 PM ),"Priego, Spain,40n27,  2w18",CEST,Quoted BC/BR,AA,Rodden,18°34,13°33,17°56, Sports 
"Ocariz, Fernando",,M,27 October 1944 at 04:15(= 04:15 AM ),"Paris Arrondissement 14, France,48n4959,  2e1936",GDT,Quoted BC/BR,AA,de Jabrun,03°35,02°01,27°24, Religion 
"Ocasio-Cortez, Alexandria",,F,13 October 1989 at 11:50(= 11:50 AM ),"Bronx, New York,40n51,  73w54",EDT,From memory,A,Astrodienst,20°17,03°14,15°49, Politics 
"Occhetto, Achille",,M,3 March 1936 at 12:00(= 12:00 noon ),"Torino, Italy,45n03,  7e40",MET,Quoted BC/BR,AA,Bordoni,12°43,19°26,29°30, Politics 
"Occhialini, Giuseppe",Giuseppe Paolo Stanislao Occhialini,M,5 December 1907 at 11:50(= 11:50 AM ),"Fossombrone, Italy,43n41,  12e48",MET,Quoted BC/BR,AA,Gauquelin,12°09,12°25,22°05, Science 
"Occhiena, Marina",,F,19 March 1950 at 02:00(= 02:00 AM ),"Genoa, Italy,44n25,  8e57",MET,Quoted BC/BR,AA,Bordoni,27°52,02°21,25°20, Entertain/Music 
"Occhini, Ilaria",,F,28 March 1934 at 10:00(= 10:00 AM ),"Florence, Italy,43n46,  11e15",MET,Quoted BC/BR,AA,Bordoni,07°00,05°18,26°10, Entertainment 
"Occorsio, Vittorio",,M,9 April 1929 at 03:00(= 03:00 AM ),"Rome, Italy,41n54,  12e29",MET,Quoted BC/BR,AA,Bordoni,18°44,08°40,10°15, Law 
"Oceak, Frank",Frank John Oceak,M,8 September 1912 at 04:00(= 04:00 AM ),"Pocahontas (Tazewell County), Virginia,37n18,  81w20",EST,BC/BR in hand,AA,Scholfield,15°19,06°22,19°57, Sports 
"Ocean, Frank",Christopher Edwin Cooksey,M,28 October 1987 at 07:14(= 07:14 AM ),"Long Beach, California,33n46,  118w11",PST,BC/BR in hand,AA,Astrodienst,04°40,20°26,17°24, Art 
"Ochlik, Rémi",,M,16 October 1983 at 19:35(= 7:35 PM ),"Thionville, France,49n22,  6e10",MET,BC/BR in hand,AA,Brun,22°49,25°00,09°08, Art 
"Ochoa, Destiny",Destiny Mariah Ochoa,F,11 November 2011 at 03:32(= 03:32 AM ),"San Diego, California,32n43,  117w09",PST,From memory,A,Scholfield,18°43,25°41,13°43, Business/Marketing 
"Ochoa, Jossie",Josephine Jasmine Ochoa,F,8 December 1992 at 21:00(= 9:00 PM ),"Los Angeles, California,34n03,  118w15",PST,Rectified from approx. time,C,Scholfield,17°23,07°31,14°06, Beauty 
"Ochoa, Rick",Rick Dean Ochoa,M,30 June 1992 at 13:54(= 1:54 PM ),"San Diego, California,32n43,  117w09",PDT,BC/BR in hand,AA,Scholfield,09°17,14°15,21°41, Entertainment 
"Ochoa, Robert",,M,25 January 1999 at 03:17(= 03:17 AM ),"San Diego, California,32n43,  117w09",PST,From memory,A,Scholfield,05°02,13°50,12°36, Entertainment 
"Ochoa, Ryan",,M,17 May 1996 at 19:48(= 7:48 PM ),"San Diego, California,32n43,  117w09",PDT,From memory,A,Scholfield,27°27,04°41,29°34, Entertainment 
"Ochoa, Severo",Severo Ochoa de Albornoz,M,24 September 1905 at 19:00(= 7:00 PM ),"Luarca, Spain,43n32,  6w32",GMT,Quoted BC/BR,AA,Estadella,01°02,05°28,20°46, Science 
"Ochoa Gutierrez, Jose",,M,29 July 1909 at 08:00(= 08:00 AM ),"Michoacán (Baja Calif Norte), Mexico,32n28,  115w20",LMT,Quoted BC/BR,AA,Castellanos,05°50,23°59,10°06, Religion 
"Ochorowicz, Julian",,M,23 February 1850 at 15:00(= 3:00 PM ),"Radzymin, Poland,52n25,  21e11",LMT,Quoted BC/BR,AA,PTA,04°38,24°22,10°09, Healing Fields 
"Ochs, Elmer Raymond",,M,11 April 1925 at 06:58(= 06:58 AM ),"Newton, Illinois,38n59,  88w10",CST,Quoted BC/BR,AA,Steinbrecher,21°07,22°13,23°53, Military 
"Ochs, Jacques",Jacques Martin Ochs,M,18 February 1883 at 01:00(= 01:00 AM ),"Nice, France,43n42,  7e15",LMT,BC/BR in hand,AA,Scholfield,29°03,13°13,25°34, Art 
"Ochs, Siegfried",Siegfried Lazar Ochs,M,19 April 1858 at 02:00(= 02:00 AM ),"Frankfurt am Main, Germany,50n07,  8e40",LMT,BC/BR in hand,AA,Scholfield,28°41,08°25,28°05, Entertain/Music 
"Ochs, Sonny",Sonia Frances Ochs,F,12 April 1937 at 10:55(= 10:55 AM ),"Edinburgh, Scotland,55n57,  3w13",GMT,BC/BR in hand,AA,Scholfield,22°07,09°36,01°00, Entertainment 
"Ochsenknecht, Uwe",Uwe Adam Ochsenknecht,M,7 January 1956 at 04:15(= 04:15 AM ),"Biblis, Germany,49n41,  8e27",MET,From memory,A,Scholfield,15°48,10°51,22°17, Entertainment 
"Ockers, Stan",Constant Ockers,M,3 February 1920 at 05:00(= 05:00 AM ),"Borgerhout, Belgium,51n13,  4e26",GMT,Quoted BC/BR,AA,Steinbrecher,13°05,27°31,28°57, Sports 
"Ockrent, Christine",Christine Anne Geneviève Ockrent,F,24 April 1944 at 22:45(= 10:45 PM ),"Brussels, Belgium,50n50,  4e20",MEDT,Quoted BC/BR,AA,Bessiere,04°32,01°01,25°28, Entertainment 
"Ockrent, Roger",Roger Albert Ockrent,M,20 March 1914 at 06:00(= 06:00 AM ),"Schaerbeek, Belgium,50n51,  4e23",GMT,Quoted BC/BR,AA,Steinbrecher,28°48,16°08,03°03, Law 
"Ocon, Esteban",,M,17 September 1996 at 03:20(= 03:20 AM ),"Évreux, France,49n01,  1e09",CEST,Quoted BC/BR,AA,Lepoivre,24°26,11°48,07°30, Sports 
"Octavius, Prince of Great Britain",,M,23 February 1779 at 03:30(= 03:30 AM ),"London, England,51n30,  0w10",LMT,News report,A,Scholfield,04°26,24°56,23°12,
"Octuplets, Chukwu",,Mix,20 December 1998 at 09:00(= 09:00 AM ),"Houston, Texas,29n46,  95w22",CST,News report,A,Rodden,28°31,17°43,23°50,
"Odabaşı, Nihat",,M,21 May 1968 at 07:30(= 07:30 AM ),"Siverek, Turkey,37n45,  39e19",EET,From memory,A,Wotan,00°13,23°29,17°44, Art 
"Odam, Norman Carl",,M,5 September 1947 at 06:15(= 06:15 AM ),"Lubbock, Texas,33n35,  101w51",CST,From memory,A,McKay-Clements,12°05,08°47,09°28, Entertain/Music 
"Odar, Bruno",Bruno Fernando Odar Galindo,M,1 November 1965 at 01:10(= 01:10 AM ),"Lince, Peru,12s06,  77w03",-05,BC/BR in hand,AA,Scholfield,08°37,07°35,20°07, Entertainment 
"Oddo, Bernardo",,M,22 January 1882 at 18:30(= 6:30 PM ),"Caltavuturo, Italy,37n49,  13e53",LST,Quoted BC/BR,AA,Gauquelin,02°40,15°38,19°32, Science 
"Oddo, Constantin",Paul Marie Constantin Oddo,M,6 June 1860 at 08:00(= 08:00 AM ),"Marseille, France,43n18,  5e24",LMT,BC/BR in hand,AA,Gauquelin,15°45,17°32,02°20, Education 
"Oddo, Francesco",,M,24 August 1946 at 03:30(= 03:30 AM ),"Trapani, Italy,38n01,  12e29",MEDT,Quoted BC/BR,AA,Bordoni,00°17,23°24,22°50, Sports Business 
"Oddo, Giuseppe",,M,9 June 1865 at 05:00(= 05:00 AM ),"Caltavuturo, Italy,37n49,  13e53",LMT,Quoted BC/BR,AA,Gauquelin,18°17,15°30,22°40, Science 
"Oddo, Paul",Paul Jean Marie Gabriel Oddo,M,24 November 1917 at 20:00(= 8:00 PM ),"Paris, France,48n52,  2e20",GMT,BC/BR in hand,AA,Geslain,01°59,10°24,28°40, Military 
"Ødegaard, Henrik",,M,28 July 1955 at 09:15(= 09:15 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,04°30,23°01,23°36, Entertain/Music 
"Ødegård, Hans Petter",,M,16 June 1959 at 10:00(= 10:00 AM ),"Oslo, Norway,59n55,  10e45",CEST,BC/BR in hand,AA,Viktor,24°26,21°48,25°43, Sports 
"Odell, Cary",Cary Elliott Odell,M,20 December 1910 at 13:15(= 1:15 PM ),"Frankfort, Indiana,40n17,  86w31",CST,BC/BR in hand,AA,Scholfield,28°03,26°32,04°12, Art 
"Odell, Mary Jane",Mary Jane Neville,M,28 July 1923 at 06:00(= 06:00 AM ),"Algona, Iowa,43n04,  94w14",CST,BC/BR in hand,AA,Scholfield,04°23,11°20,14°29, Education 
Odet-Pellion,Marie Joseph Alphonse Pellion,M,30 September 1796 at 10:00(= 10:00 AM ),"Gray, France,47n27,  5e35",LMT,BC/BR in hand,AA,Geslain,07°55,29°01,21°23, Military 
"Odets, Clifford",,M,18 July 1906 at 13:00(= 1:00 PM ),"Philadelphia, Pennsylvania,39n57,  75w10",EST,BC/BR in hand,AA,Scholfield,25°10,23°39,02°11, Art 
Odetta,Odetta Holmes,F,31 December 1930 at 09:20(= 09:20 AM ),"Birmingham, Alabama,33n31,  86w48",CST,Quoted BC/BR,AA,Steinbrecher,09°15,18°50,20°02, Entertain/Music 
"Odette, Mary",Marie Odette Goimbault,F,10 August 1901 at 10:30(= 10:30 AM ),"Dieppe, France,49n56,  1e05",LST,Quoted BC/BR,AA,Mandl,17°04,27°31,17°33, Entertainment 
"Odgren, John",John Albert Odgren,M,1 September 1990 at 03:08(= 03:08 AM ),"Fitchburg, Massachusetts,42n35,  71w48",EDT,Quoted BC/BR,AA,Taglilatelo,08°36,22°49,02°17,
"Odifreddi, Piergiorgio",,M,13 July 1950 at 22:00(= 10:00 PM ),"Cuneo, Italy,44n23,  7e32",MET,Quoted BC/BR,AA,Bordoni,20°52,05°23,00°15, Humanities+Social Sciences 
"Odinga, Raila",Raila Amolo Odinga,M,7 January 1945 at 11:47(= 11:47 AM ),"Maseno, Kenya,0s01,  34e36",EAT,From memory,A,Scholfield,16°42,25°47,03°10, Politics 
"Odio, Eunice","Mariel, Catalina",F,18 October 1919 at 07:00(= 07:00 AM ),"San José, Costa Rica,9n56,  84w05",SJMT,Quoted BC/BR,AA,Castellanos,24°05,22°46,10°39, Education 
"Odio Herrera, Ruben",,M,22 October 1901 at 02:00(= 02:00 AM ),"San José, Costa Rica,9n56,  84w05",SJMT,Quoted BC/BR,AA,Castellanos,28°13,16°58,29°58, Religion 
"Odio Santos, Ulises",,M,25 November 1917 at 22:00(= 10:00 PM ),"Puntarenas, Costa Rica,9n58,  84w50",SJMT,Quoted BC/BR,AA,Castellanos,03°19,29°13,04°51, Law 
"Odle, Thomas","Odle, Thomas Virgil",M,20 December 1966 at 17:22(= 5:22 PM ),"Mount Vernon, Illinois,38n19,  88w54",CST,News report,A,Rodden,28°38,10°13,09°33,
"Odom, Barry",Barry Stephen Odom,M,26 November 1976 at 21:10(= 9:10 PM ),"Lawton, Oklahoma,34n37,  98w23",CST,News report,A,Scholfield,05°01,18°20,28°10, Sports 
"Odom, Lamar",Lamar Joseph Odom,M,6 November 1979 at 12:05(= 12:05 PM ),"Queens, New York,40n43,  73w52",EST,Bio/autobiography,B,Craft,13°41,15°55,26°33, Entertainment 
"Odon, Charles",Charles Dreypondt,M,7 November 1925 at 21:00(= 9:00 PM ),"Ostende, Belgium,51n13,  2e55",GMT,Quoted BC/BR,AA,Gauquelin,14°56,06°45,29°36, Sports 
"Odría, Manuel A.",Manuel Arturo Odría Amoretti,M,26 November 1896 at 12:45(= 12:45 PM ),"Tarma, Peru,11s25,  75w42",LMT,BC/BR in hand,AA,Scholfield,05°02,17°58,17°24, Military 
"Oduber Quiros, Daniel",,M,25 August 1921 at 13:00(= 1:00 PM ),"San José, Costa Rica,9n56,  84w05",CST,Quoted BC/BR,AA,Castellanos,02°00,22°52,20°55, Politics 
"Ødegård, Ørnulv",,M,12 April 1901 at 16:00(= 4:00 PM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,22°00,27°33,21°12, Education 
"Oeder, Georg",,M,12 April 1846 at 08:00(= 08:00 AM ),"Aachen, Germany,50n47,  6e05",LMT,Quoted BC/BR,AA,Gauquelin,22°00,28°51,22°33, Art 
"Oefele, Felix",Baron (Freiherr) Felix von Oefele,M,24 December 1861 at 08:00(= 08:00 AM ),"Neustadt an der Aisch, Germany,49n34,  10e37",LMT,Quoted BC/BR,AA,Gauquelin,02°32,24°47,02°02, Humanities+Social Sciences 
"Oehlert, Benjamin H. Jr.",Benjamin Hilborn Oehlert Jr.,M,13 September 1909 at 18:00(= 6:00 PM ),"Philadelphia, Pennsylvania,39n57,  75w10",EST,BC/BR in hand,AA,Scholfield,20°29,13°06,16°36, Business 
"Oehlert, Daniel",Daniel Victor Œhlert,M,1 November 1849 at 23:00(= 11:00 PM ),"Laval, France,48n04,  0w46",LMT,Quoted BC/BR,AA,Gauquelin,09°27,26°44,13°19, Education 
"Oeller, Hans",,M,4 June 1882 at 06:00(= 06:00 AM ),"Munich, Germany,48n08,  11e34",LMT,Quoted BC/BR,AA,Gauquelin,13°26,13°43,10°03, Education 
"Oeller, Johann",Johann Nepomuk Oeller,M,30 April 1850 at 07:00(= 07:00 AM ),"Obernzell, Germany,48n34,  13e39",LMT,Quoted BC/BR,AA,Gauquelin,09°31,23°39,22°37, Medical 
"Oelman, Robert Schantz",,M,9 June 1909 at 05:00(= 05:00 AM ),"Dayton, Ohio,39n46,  84w12",CST,Quoted BC/BR,AA,Steinbrecher,17°56,26°05,29°12, Business 
"Oelmann, Christl",,F,13 January 1945 at 09:25(= 09:25 AM ),"Miltenberg, Germany,49n42,  9e15",MET,Quoted BC/BR,AA,Liefeld,22°48,11°48,15°26, Occult Fields 
"Øen, Bjarne",Adolf Bjarne Øen,M,6 November 1898 at 07:00(= 07:00 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,13°52,10°02,04°47, Military 
"Ørbeck, Anne-Marie",,F,1 April 1911 at 08:20(= 08:20 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,10°27,04°17,27°55, Entertain/Music 
"Ørbeck, Odd",,M,29 March 1925 at 05:50(= 05:50 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,08°00,03°27,27°05, Art 
"Ørjasæter, Tordis",Tordis Greni,M,25 March 1927 at 04:17(= 04:17 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,03°29,17°38,14°09, Education 
"Oersted, Hans Christian",,M,14 August 1777,"Rudkøbing, Denmark,54n56,  10e43",LMT,Date w/o time,X,Starkman,,,, Science 
"Oerter, Al",Alfred Adolf Oerter Jr,M,19 September 1936,"Astoria, New York,40n46,  73w56",EDT,Date w/o time,X,Astrodienst,,,, Sports 
"Østbye, Odd",Odd Kjeld Østbye,M,14 April 1925 at 02:30(= 02:30 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,23°35,28°12,06°23, Building Trades 
"Østbye, Rolf",,M,17 April 1898 at 04:00(= 04:00 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,27°07,11°38,24°31, Business 
"Oesterlen, Fritz",Eugen Friedrich Oesterlen,M,24 June 1874 at 06:00(= 06:00 AM ),"Stuttgart-Bad Cannstatt, Germany,48n46,  9e11",LMT,BC/BR in hand,AA,Scholfield,02°28,28°28,26°06, Education 
"Oesterlen, Otto",Otto August von Oesterlen,M,14 March 1840 at 18:30(= 6:30 PM ),"Murrhardt, Germany,48n59,  9e34",LMT,Quoted BC/BR,AA,Gauquelin,24°15,12°40,29°56, Law 
"Østern, Bjørn Sigurd",,M,12 October 1935 at 10:37(= 10:37 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,18°08,21°03,22°26, Art 
"Oesterreich, Traugott Konstantin",Traugott Erdmann Constantin Oesterreich,M,15 September 1880 at 03:00(= 03:00 AM ),"Szczecin, Poland,53n24,  14e32",LMT,BC/BR in hand,AA,Scholfield,22°35,06°20,25°22, Healing Fields 
"Østgaard, Rolf Ramm",,M,15 January 1923 at 23:20(= 11:20 PM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,24°46,10°20,06°17, Building Trades 
"Oestreich, Paul",Paul Hermann August Oestreich,M,30 March 1878 at 05:00(= 05:00 AM ),"Kolberg, Germany,54n11,  15e35",LMT,BC/BR in hand,AA,Scholfield,09°20,29°00,09°44, Education 
Oestreich Johann,Johann Wilhelm Karl Oestreich,M,11 December 1873 at 02:00(= 02:00 AM ),"Frankfurt am Main, Germany,50n07,  8e40",LMT,Quoted BC/BR,AA,Gauquelin,19°08,09°52,14°13, Education 
"Østvedt, Anne-Sofie",,F,2 January 1920 at 07:00(= 07:00 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,10°33,20°04,09°14, Military 
"Œttly, Paul",Paul Emile Œttly,M,25 June 1890 at 23:30(= 11:30 PM ),"Constantine, Algeria,36n22,  6e37",LMT,BC/BR in hand,AA,Scholfield,04°16,08°40,24°27, Entertainment 
"Ofek, Atara",,F,21 March 1953 at 06:00(= 06:00 AM ),"Herzliyya, Israel,32n10,  34e51",IST,From memory,A,Eyal Ben-Aharon,00°15,16°22,04°50, Humanities+Social Sciences 
"Offenbach, Jacques","Eberst, Jacob",M,20 June 1819 at 03:00(= 03:00 AM ),"Cologne, Germany,50n56,  6e59",LMT,BC/BR in hand,AA,Steinbrecher,27°53,29°35,14°36, Entertain/Music 
"Offenberg, Egil",,M,8 March 1899 at 06:30(= 06:30 AM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,17°27,27°48,18°05, Business 
"Offterdinger, Carl",Christian Carl Offterdinger,M,8 January 1829 at 02:00(= 02:00 AM ),"Stuttgart, Germany,48n46,  9e11",LMT,BC/BR in hand,AA,Scholfield,17°35,21°02,04°21, Art 
"Ofori, Carol",,F,14 January 1983 at 11:20(= 11:20 AM ),"Mafikeng, South Africa,25s53,  25e39",EET,From memory,A,Scholfield,23°38,25°31,08°02, Business 
"Ofsdal, Steinar",Steinar Kristoffersen,M,4 October 1948 at 16:50(= 4:50 PM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,11°19,06°33,26°07, Education 
"Øgaard, Leif",,M,5 January 1952 at 21:30(= 9:30 PM ),"Oslo, Norway,59n55,  10e45",CET,BC/BR in hand,AA,Viktor,14°28,04°06,12°59, Sports 
"Ogata, Kenje",,M,1 June 1918 at 05:00(= 05:00 AM ),"Gary, Indiana,41n36,  87w21",CWT,BC/BR in hand,AA,Scholfield,10°05,00°04,03°32, Military 
"Ogden, Richard C.",Richard Claude Ogden,M,10 July 1963 at 21:52(= 9:52 PM ),"Guymon, Oklahoma,36n41,  101w29",CST,News report,A,Scholfield,18°09,10°11,21°30, Law 
"Ogé, Eugène",,M,5 May 1861 at 22:00(= 10:00 PM ),"Paris, France,48n52,  2e20",LMT,BC/BR in hand,AA,Geslain,15°20,01°03,16°15, Art 
"Ogea, Chad",,M,9 November 1970,"Lake Charles, Louisiana,30n14,  93w13",CST,Date w/o time,X,Conrad,,,, Sports 
"Oger, Bernard",Bernard Gérard Gilles Oger,M,11 October 1952 at 02:45(= 02:45 AM ),"Le Nouvion en Thiérache, France,50n01,  3e47",MET,BC/BR in hand,AA,Geslain,17°41,20°32,01°06, Sports 
"Ogeret, Marc",Marc André Marius Frédéric Ogeret,M,27 February 1932 at 12:00(= 12:00 noon ),"Paris, France,48n52,  2e20",GMT,BC/BR in hand,AA,Geslain,07°42,21°23,07°16, Entertain/Music 
"Ogg, Andrew Pollard",,M,9 April 1934 at 16:30(= 4:30 PM ),"Bowling Green, Ohio,41n22,  83w39",EST,Quoted BC/BR,AA,Steinbrecher,19°20,26°52,19°11, Science 
